Router,Host,Index,Transporte(Gbps),Status,device_index
ceAGREGADORVillaSalvador,10.235.191.244,110,10,-,ceAGREGADORVillaSalvador110
ceAGREGADORVillaSalvador,10.235.191.244,111,10,-,ceAGREGADORVillaSalvador111
ceAGREGADORVillaSalvador,10.235.191.244,112,10,-,ceAGREGADORVillaSalvador112
ceAGREGADORVillaSalvador,10.235.191.244,113,10,-,ceAGREGADORVillaSalvador113
ceAGREGADORVillaSalvador,10.235.191.244,181,10,-,ceAGREGADORVillaSalvador181
ceAGREGADORVillaSalvador,10.235.191.244,182,10,-,ceAGREGADORVillaSalvador182
ceAGREGADORVillaSalvador,10.235.191.244,183,10,-,ceAGREGADORVillaSalvador183
ceAGREGADORVillaSalvador2,10.235.191.245,207,10,-,ceAGREGADORVillaSalvador2207
ceAGREGADORVillaSalvador2,10.235.191.245,208,10,-,ceAGREGADORVillaSalvador2208
ceAGREGADORVillaSalvador2,10.235.191.245,209,10,-,ceAGREGADORVillaSalvador2209
ceAGREGADORVillaSalvador2,10.235.191.245,210,10,-,ceAGREGADORVillaSalvador2210
ceAGREGADORVillaSalvador2,10.235.191.245,211,10,-,ceAGREGADORVillaSalvador2211
ceAGREGADORVillaSalvador2,10.235.191.245,212,10,-,ceAGREGADORVillaSalvador2212
ceAGREGADORVillaSalvador2,10.235.191.245,213,10,-,ceAGREGADORVillaSalvador2213
ceAGREGADORVillaSalvador2,10.235.191.245,161,10,-,ceAGREGADORVillaSalvador2161
ceAGREGADORVillaSalvador2,10.235.191.245,162,10,-,ceAGREGADORVillaSalvador2162
ceAGREGADORVillaSalvador2,10.235.191.245,163,10,-,ceAGREGADORVillaSalvador2163
ceAGREGADORArequipa,10.235.238.41,222,10,-,ceAGREGADORArequipa222
ceAGREGADORArequipa,10.235.238.41,223,10,-,ceAGREGADORArequipa223
ceAGREGADORArequipa,10.235.238.41,224,10,-,ceAGREGADORArequipa224
ceAGREGADORArequipa,10.235.238.41,225,10,-,ceAGREGADORArequipa225
ceAGREGADORArequipa,10.235.238.41,226,10,-,ceAGREGADORArequipa226
ceAGREGADORArequipa,10.235.238.41,227,10,-,ceAGREGADORArequipa227
ceAGREGADORArequipa,10.235.238.41,228,10,-,ceAGREGADORArequipa228
ceAGREGADORArequipa,10.235.238.41,229,10,-,ceAGREGADORArequipa229
ceAGREGADORArequipa2,10.235.238.43,210,10,-,ceAGREGADORArequipa2210
ceAGREGADORArequipa2,10.235.238.43,211,10,-,ceAGREGADORArequipa2211
ceAGREGADORArequipa2,10.235.238.43,212,10,-,ceAGREGADORArequipa2212
ceAGREGADORArequipa2,10.235.238.43,213,10,-,ceAGREGADORArequipa2213
ceAGREGADORArequipa2,10.235.238.43,214,10,-,ceAGREGADORArequipa2214
ceAGREGADORArequipa2,10.235.238.43,215,10,-,ceAGREGADORArequipa2215
ceAGREGADORArequipa2,10.235.238.43,216,10,-,ceAGREGADORArequipa2216
ceAGREGADORArequipa2,10.235.238.43,217,10,-,ceAGREGADORArequipa2217
